New Features	新功能
Keeps this plugin's windows visible while you are in GPose.	进入 GPose 时保持本插件的窗口可见。
Keeps this plugin's windows visible when you hide the game UI.	隐藏游戏界面时保持本插件的窗口可见。
Tells you in chat and on screen when a new version of the plugin has been installed.	插件安装新版本时，会在聊天栏和屏幕上通知你。
Opens the changelog window after an update.	更新后自动打开更新日志窗口。
Turns your character toward your target when you bypass an emote.	无视限制播放情感动作时，让角色转向目标。
Due to detectability, you need to be in the base pose (pose 0) of your current stance to bypass emotes in safe mode.	出于可被检测的考虑，安全模式下你需要处于当前姿态的基础姿势（姿势 0）才能无视限制播放情感动作。
\"Strict\" only puts a looping emote on another looping one.\n\"Lenient\" lets a looping emote play once on a one time emote when no better match exists.\n\nRecommended: \"Strict\", or \"Lenient\" if you really don't have many emotes.	「严格」只会把循环情感动作替换到另一个循环情感动作上。\n「宽松」在没有更好选择时，允许循环情感动作在一次性情感动作上播放一次。\n\n推荐：「严格」；如果你确实没多少情感动作，可以选「宽松」。
Emotes have different turn behaviors when you target someone. Some emotes will make your torso turn (i.e: /hum), some only your head (i.e: /stepdance),some will only make your eyes follow your target (i.e: /beesknees) while others will not move at all (i.e:/guard).\n\n\"Very strict\" only picks emotes that behaves the same way.\n\"Strict\" allows eye following differences but keeps emotes head and body turn behaviors.\n\"Lenient\" allows any turn behavior.\n\nThe plugin will still always try to find the best match first, regardless of the selected rule.\n\nRecommended: \"Lenient\".	情感动作在锁定目标时的转身表现各不相同。有些动作会让你的躯干转动（如 /hum），有些只转动头部（如 /stepdance），有些只会让你的视线跟随目标（如 /beesknees），还有一些完全不会动（如 /guard）。\n\n「非常严格」只选择表现完全一致的情感动作。\n「严格」允许视线跟随上的差异，但要求头部和身体的转身表现一致。\n「宽松」允许任何转身表现。\n\n无论选择哪种规则，插件都仍然会优先尝试寻找最佳匹配。\n\n推荐：「宽松」。
\"Strict\" never puts an emote on one that makes sound.\n\"Lenient\" allows matching emotes that make sounds together.\n\"Off\" will let emotes play regardless of sound.\n\nThis is to prevent vanilla people from seeing you play fume which could annoy other vanilla players, for example.\n\nRecommended: \"Lenient\".	「严格」绝不会把情感动作替换到会发出音效的动作上。\n「宽松」允许把都会发出音效的情感动作互相匹配。\n「关闭」不考虑音效，直接播放。\n\n举例来说，这是为了避免原版玩家看到你在播放 fume，从而可能打扰到其他原版玩家。\n\n推荐：「宽松」。
Gives each bypassed emote a target emote of its own. This is useful when you want to bypass multiple emotes quickly.\n\n\"Off\" would make it so other people on your sync service would see you redraw constantly.\n\"Only when necessary\" spreads nothing while the game plays fresh content on its own, and steps in for the emotes that would show a stale frame once a game patch breaks that.\n\"On\" always spreads emotes.\n\nRecommended: \"On\" if you want other people on your sync service to always see you properly without redrawing all the time, otherwise highly recommended to leave it on \"Only when necessary\" and not \"Off\".	为每个被无视限制播放的情感动作分配各自的目标情感动作。想在短时间内连续播放多个情感动作时很有用。\n\n「关闭」会让同步服务上的其他玩家看到你不断重新加载角色。\n「仅在必要时」在游戏能自行播放新内容时不分散替换，而当游戏更新破坏该机制、某些动作会显示旧画面时再介入。\n「开启」始终分散情感动作。\n\n推荐：如果你希望同步服务上的其他玩家不必频繁重新加载也能始终看到正确的效果，请选「开启」；否则强烈建议保持「仅在必要时」，不要选「关闭」。
How many different target emotes one kind of emote may swap to.	同一种情感动作可以替换到多少个不同的目标情感动作上。
Takes effect when \"Spread swaps over several emote\" is enabled. This determines which emotes become available for a source emote. Basically, if you want to spread swaps over 5 emotes, and you try to bypass an emote but you only have 2 same-rank targets available, this is how it will determine what to do in this scenario. A rank is basically a category of emotes with similar characteristics (same turn behaviour, etc).\n\n\"Same rank only\" strictly picks targets of the same rank.\n\"One rank below\" also accepts targets one rank below.\n\"Anything allowed\" picks any target it can find, regardless of the rank.\n\nNone of them ever breaks your other rules.\n\nRecommended: \"One rank below\", or \"Same rank only\" if you want behavior accuracy.	在启用「将替换分散到多个情感动作」时生效，决定某个源情感动作可以使用哪些情感动作作为目标。简单来说，如果你想分散到 5 个情感动作，但只有 2 个同等级目标可用时，就由它来决定如何处理。等级大致就是具有相同特征（转身表现等）的一类情感动作。\n\n「仅同等级」只选择同等级的目标。\n「可低一级」也接受低一个等级的目标。\n「不限等级」会选择任何能找到的目标，不考虑等级。\n\n以上选项都不会破坏你的其他规则。\n\n推荐：「可低一级」；如果你更看重表现准确，可以选「仅同等级」。
Determines whether to block unlocked emotes from being picked when they are modified by at least one of your mods. This prevents other people from seeing other modded emotes you might have before the swap takes place.\nAs an example, you have a mod on beesknees, and you try to bypass /conduct which happens to land on beesknees: other players might or might not see the modded beesknees for a moment.\n\n\"Allowed\" allows using unlocked emotes that are modified by one of your mods.\n\"Last resort\" uses one only when nothing else fits.\n\"Blocked\" never uses one, and show an error message in the chat with options to disable or open the mod in penumbra.\n\nRecommended: \"Last resort\", or \"Blocked\" if you absolutely don't want your modded emotes to accidentaly be seen.	决定当已解锁的情感动作被你的某个模组修改时，是否禁止将其作为目标。这可以避免其他玩家在替换生效前看到你拥有的其他模组效果。\n例如：你给 beesknees 装了模组，而你想无视限制播放 /conduct，它正好匹配到 beesknees：其他玩家可能会在瞬间看到被模组修改后的 beesknees。\n\n「允许」允许使用被你的模组修改过的已解锁情感动作。\n「最后手段」仅在没有其他合适选项时才使用。\n「禁止」绝不使用，并在聊天栏显示错误提示，附带禁用该模组或在 Penumbra 中打开模组的选项。\n\n推荐：「最后手段」；如果你绝对不希望自己的模组效果被意外看到，可以选「禁止」。
When no unlocked looped emote fits as a target, your current idle pose may be eligible instead. The emote you try to bypass will then be targeted onto your current idle pose. This will cause a redraw of your character when triggered.\n\n\"Never\" blocks idle poses from being used as targets.\n\"Only when nothing else fits\" uses the pose only when literally no unlocked looped emote could have played here at all. This will not use your idle pose if any other emote would have been available if it wasn't blocked.\n\"Allow\" always falls back to your idle pose when no other options are available.\n\nRecommended: \"Only when nothing else fits\".	当没有已解锁的循环情感动作可以作为目标时，你的当前待机动作也可以作为候选。此时你要无视限制播放的情感动作会被替换到当前待机动作上。触发时会导致角色重新加载。\n\n「从不」禁止将待机动作作为目标。\n「仅当无其他选择」只在确实没有任何已解锁的循环情感动作可播放时才使用待机动作。如果还有其他情感动作（只是被规则挡住）可用，就不会改用待机动作。\n「允许」在没有其他可用选项时总是回退到你的待机动作。\n\n推荐：「仅当无其他选择」。
\"When the emote ends\" puts your real emote back as soon as the animation stops.\n\"When you play the target emote\" keeps the swap enabled until the next time you play the target emote.\n\"Never\" keeps the swap live until another swap claims the same target emote.\n\nRecommended: \"When you play the target emote\". \"When the emote ends\" is not recommended, as people will see you redraw constantly after swapping.	「情感动作结束时」在动画停止后立刻恢复你原本的情感动作。\n「播放目标动作时」保持替换生效，直到你下次播放该目标情感动作。\n「从不」让替换一直保留，直到另一个替换占用了同一个目标情感动作。\n\n推荐：「播放目标动作时」。「情感动作结束时」不推荐，因为替换后其他人会看到你不断重新加载。
\"Multiple swaps\" keeps multiple swaps active at the same time in the mod.\n\"One swap at a time\" turns the previous swaps off as soon as a new one starts.\n\nRecommended: \"Multiple swaps\", unless for some reason you want to only keep one swap at a time.	「多个替换」让模组中同时保留多个替换。\n「仅保留一个替换」在新替换开始时立即关闭之前的替换。\n\n推荐：「多个替换」，除非你出于某种原因只想同时保留一个替换。
How many swaps are kept per target emote. 0 keeps them all.\n\nEach kept swap stays as an option of the generated Penumbra mod, so playing an emote again enables it again without rebuilding it. The only cost is that the mod gets bigger.	每个目标情感动作保留多少个替换。设为 0 表示全部保留。\n\n每个保留的替换都会作为生成的 Penumbra 模组的一个选项存在，因此再次播放该情感动作时会直接启用，而无需重新生成。唯一的代价是模组会变大。
Names the generated mod after your initials instead of your full name and world.	生成的模组使用你的姓名首字母命名，而不是完整的角色名和服务器名。
Applies the cache-break mechanism to every emote, even those you own. This is a bonus feature and is experimental. This will allow the client to always \"refresh\" animations so you never have to redraw yourself or stop emoting to apply an animation change.	对所有情感动作（包括你自己已拥有的）应用缓存刷新机制。这是一个附加的实验性功能。它能让客户端始终「刷新」动画，因此你无需重新加载角色或停止情感动作，就能应用动画变化。
Shows a message in chat when an emote is swapped.	发生替换时在聊天栏显示消息。
Shows an error in chat when a swap could not be done.	替换失败时在聊天栏显示错误。
How long the same error stays quiet after you have seen it.\n\nAccepts time format: 5m, 300s, 5m10s, 1h.\nSet to 0 to see every one of them.	同一条错误在你看到之后会静默多久。\n\n支持时间格式：5m、300s、5m10s、1h。\n设为 0 表示每条都显示。
Shows a warning in chat when a swap happened, but not the way you would expect.	替换发生但结果与预期不符时，在聊天栏显示警告。
How long the same warning stays quiet after you have seen it.\n\nAccepts time format: 5m, 300s, 5m10s, 1h.\nSet to 0 to disable.	同一条警告在你看到之后会静默多久。\n\n支持时间格式：5m、300s、5m10s、1h。\n设为 0 表示不再提示。
This game build is not approved yet, this will not work.	当前游戏版本尚未通过审批，此功能不会生效。
Not running: {0}.	未运行：{0}。
Leave this on, otherwise bypassing several animations in a row may look broken.	请保持开启，否则连续播放多个动画时可能看起来出问题。
Bypass Emote has not been approved for this game build.	Bypass Emote 尚未针对当前游戏版本通过审批。
Emote swaps may behave oddly until the build is approved.\nThe plugin will automatically fetch updates every 10 minutes to check if it was approved.	在版本通过审批之前，表情替换可能表现异常。\n插件每 10 分钟会自动获取一次更新，以检查是否已通过审批。
The Bypass Emote you are using is not the original plugin.	你所在使用的Bypass Emote不是原版插件
This Chinese localization and CN client adaptation branch is maintained by Sachimi. If you have any problem, please report the bug at https://github.com/Luckyumimi/BypassEmoteCN	此汉化＆国服适配分支由Sachimi负责，如果有任何问题，请前往https://github.com/Luckyumimi/BypassEmoteCN报告bug
Open the project page	打开项目主页
not yet	尚未
Checked at {0}.	检查时间：{0}。
Enable Force Approval	开启强制审批
Disable Force Approval	关闭强制审批
Force approval is on.	强制审批已开启。
Switch to Direct Play?	切换到直接播放？
Switch to Direct Play	切换到直接播放
Enable unsafe mode?	开启不安全模式？
Enable unsafe mode	开启不安全模式
Bypass Emote - Create a mod	Bypass Emote - 创建模组
This window allows you to create a permanent swap mod, and it stays unaffected by BypassEmote. You own it, and you manage it, like any other mod.	此窗口用于创建一个永久替换模组，它不受 Bypass Emote 影响；它归你所有，也和其他模组一样由你自行管理。
Emote to play	播放的情感动作
Played over	替换到
Races covered	适用种族
Mod name	模组名称
Enable on creation	创建时启用
Highest priority	最高优先级
The animation the mod plays. The one you have not unlocked.	模组播放的动画，也就是你尚未解锁的那个。
The emote you will actually use in game. The one you have unlocked.	你在游戏中实际使用的那个情感动作，也就是你已解锁的那个。
Which bodies the mod is written for.	该模组为哪些种族生成。
The name of the generated mod.	生成的模组名称。
Switches the mod on in your character's collection as soon as it exists.	模组一创建就在你的角色集合中启用。
Makes the mod have the highest priority. When off, it is created at priority 0.	让该模组拥有最高优先级。关闭时以优先级 0 创建。
Pick the emote to play...	选择要播放的情感动作...
Pick the emote to play over...	选择要替换到的情感动作...
My emote mod	我的情感动作模组
Search races...	搜索种族...
No race covered	尚未选择种族
Modded animation: {0}	模组动画：{0}
Vanilla animation	原版动画
You have not unlocked {0}.	你还没有解锁 {0}。
Your mod \"{0}\" already changes {1}.	你的模组「{0}」已经修改了 {1}。
{0} read the same animation file as {1}. {1}'s version plays for all of them.	{0} 与 {1} 读取同一个动画文件，因此它们都会播放 {1} 的版本。
This also changes the emote for {0}. They read a file the mod writes.	这也会改变 {0} 的情感动作：它们会读取该模组写入的文件。
Create	创建
An emote cannot be played over itself.	情感动作不能替换到它自己身上。
Pick at least one race.	请至少选择一个种族。
Pick both emotes and name the mod.	请选择两个情感动作并为模组命名。
Emote data is still loading. Try again in a moment.	情感动作数据仍在加载中，请稍后再试。
One of those emotes has no animation this can read.	其中一个情感动作没有可读取的动画。
Penumbra is not running.	Penumbra 未运行。
Bypass Emote Debug	Bypass Emote 调试
IPC Tests	IPC 测试
Tracked Characters	追踪的角色
Networker	网络联机
Swap Layers	替换层
Emote Pool	情感动作池
Kept Swaps	保留的替换
Patch Approval	补丁审批
The gate is not up.	审批闸门尚未就绪。
Probed client: {0}	探测到的客户端：{0}
Gate reads: {0}	闸门读取到：{0}
Pretend this is the Korean client	假装这是韩服客户端
Pretend this is the Chinese client	假装这是国服客户端
Pretend this client cannot be identified	假装无法识别此客户端
Pretend Penumbra rejects the player identifier (KR/CN clients debug)	假装 Penumbra 拒绝玩家标识（韩服/国服客户端调试用）
Client is Global. Enable one of the client checkboxes above.	当前为国际服客户端。请勾选上方任一客户端选项。
Fallback in use: {0}	正在使用回退方案：{0}
Assignment chain:	分配链：
Game build: {0}	游戏版本：{0}
Status: {0}	状态：{0}
Reason: {0}	原因：{0}
Notice: {0}	通知：{0}
Governs: {0}    Holds hooks: {1}    Held: {2}	接管：{0}    持有 Hook：{1}    已持有：{2}
as soon as the loop runs	循环运行后立即
Next automatic check: {0}	下次自动检查：{0}
Drop the recorded approval	清除已记录的审批
Clears the approval stored in the config and at runtime	清除配置中和运行时保存的审批
Notice for this build	本次构建的说明
Approve this build in the .json file	在 .json 文件中批准本次构建
The swap mod manager is not initialized.	替换模组管理器尚未初始化。
Mod directory: {0}	模组目录：{0}
<no character loaded>	（未加载角色）
Penumbra: {0}	Penumbra：{0}
Drawn body: {0}	绘制骨架：{0}
<unknown>	（未知）
Swap files: {0}	替换文件：{0}
Clear kept swaps	清除保留的替换
No swap is kept.	没有保留的替换。
Target	目标
Source	来源
Option	选项
Races	种族
Last used	最近使用
Selected	已选中
Rules	规则
(idle pose)	（待机动作）
yes	是
no	否
Select	选中
Turn off	取消选中
does not hold the mod	未持有该模组
{0}, priority {1}	{0}，优先级 {1}
enabled	已启用
disabled	已禁用
Networker is not initialized.	网络联机尚未初始化。
Network: {0}	网络：{0}
State: {0}	状态：{0}
(hub)	（主机）
Self: {0}	自身：{0}
Active	启用
LAN discovery	局域网发现
Instances on the same PC find each other with no configuration.\nLAN discovery reaches other PCs. It may need an inbound Windows Firewall rule.	同一台电脑上的多个实例无需配置即可互相发现。\n局域网发现可连接到其他电脑，可能需要放行 Windows 防火墙的入站规则。
Peers:	节点：
You - {0} [{1}]	你 - {0} [{1}]
hub	主机
client	客户端
same PC	同一台电脑
LAN	局域网
Swap owned emotes	替换已拥有的情感动作
Swaps emotes you already own instead of letting the game play them. Debug only.	让你已拥有的情感动作也走替换流程，而不是由游戏直接播放。仅供调试。
Weapon in hand	手持武器
Weapon stow at end	结束时收起武器
Weapon travel animation	武器移动动画
IPC Version: {0}	IPC 版本：{0}
IPC Is Ready: {0}	IPC 就绪：{0}
Select Emote:	选择情感动作：
Search emotes...	搜索情感动作...
Set local player state	设置本地玩家状态
Set target state	设置目标状态
Clear local player state	清除本地玩家状态
Clear target state	清除目标状态
Current Local Player IPC Data (Looping only):	当前本地玩家 IPC 数据（仅循环情感动作）：
Current Target IPC Data (Looping only):	当前目标 IPC 数据（仅循环情感动作）：
Tracked Characters:	追踪的角色：
Serialization error: {0}	序列化错误：{0}
Unknown ({0})	未知（{0}）
The emote catalog is still building.	情感动作目录仍在构建中。
State	状态
Read my state	读取我的状态
Refresh	刷新
Refused	已拒绝
Kept out	已排除
rules: loop {0}, turn {1}, sound {2}, modded {3}, idle pose {4}, dispatch {5}	规则：循环 {0}，转身 {1}，音效 {2}，模组 {3}，待机动作 {4}，派发 {5}
off	关闭
{0}, {1} per rank, {2}	{0}，每档 {1} 个，{2}
(not here)	（此处不可用）
No source emote selected.	尚未选择来源情感动作。
Emote Swap is not running.	表情替换未运行。
Nothing to show.	没有可显示的内容。
Filter targets...	筛选目标情感动作...
, you pressed {0}	，你按下的是 {0}
Pose family, never swapped.	属于姿势组，从不参与替换。
Not playable here: {0}	此处无法播放：{0}
state {0}, channel {1}, body {2}	状态 {0}，通道 {1}，骨架 {2}
The condition check was skipped.	已跳过状态检查。
Pool of {0}: {1} usable, {2} refused. {3} of your {4} owned emotes were excluded.	情感动作池共 {0} 个：{1} 个可用，{2} 个被拒绝。你拥有的 {4} 个情感动作中有 {3} 个被排除。
Borrows your idle pose first. The match below is only used if that fails.	优先借用你的待机动作，只有失败时才使用下面的匹配结果。
No owned loop fitted. Lenient pass: a one-shot can be used for a loop.	没有合适的已拥有循环情感动作。宽松匹配：可用一次性动作充当循环。
Nothing passes the filters. This emote cannot be bypassed here.	没有候选能通过筛选，此处无法无视限制播放该情感动作。
No posture variant shared with {0}. The swap stops before it is built.	与 {0} 没有共用的姿势变体，替换在构建前中止。
If this was to alternate, it would land on a second same-tier emote.	若要交替播放，会落到同档的第二个情感动作。
kept out	已排除
refused	已拒绝
chosen	已选中
same tier	同档
usable	可用
, blocked by your rules	，被你的规则阻止
, another of your mods changes it	，你的另一个模组改动了它
, blocked on {0}	，因 {0} 被阻止
cancels on rotate	转身即取消
pose family	姿势组
never a target	永不作为目标
blocked by your rules	被你的规则阻止
intro + loop	前奏 + 循环
intro + one shot	前奏 + 一次性
loop only	仅循环
one shot	一次性
no sound	无音效
sound	音效
voiceline	语音
sound unknown	音效未知
no turn	不转向
eyes turn	视线转向
head turn	头部转向
body turn	身体转向
turn unknown	转向未知
no posture	无姿势
standing	站立
chair	椅子
ground	地面
mounted	骑乘
Show every logs	显示全部日志
Show changelogs	显示更新日志
Join the Discord	加入 Discord
Show invalid emotes	显示无效情感动作
Show Invalid Emotes	显示无效情感动作
Show IDs	显示 ID
General	一般
Special	特殊
Expressions	表情
Other	其他
Fav	收藏
No blocked emote	没有屏蔽的情感动作
Block this emote as a swap target	将此情感动作屏蔽为替换目标
Patch: {0}	版本：{0}
Left-click to apply to yourself	左键点击对自己使用
Right-click for more options	右键点击查看更多选项
Drag onto a hotbar slot to assign it	拖到热键栏格子上即可分配
Only Emote Swap mode swaps.	只有表情替换模式才会替换。
Apply emote on Minion	对宠物播放情感动作
Apply emote on Pet	对召唤兽播放情感动作
Apply emote on Chocobo	对陆行鸟播放情感动作
Add an override...	添加覆写...
Assign emote to Hotbar...	将情感动作分配到热键栏...
Create a mod from this emote...	用此情感动作创建模组...
This plugin is free and always will be, donations are appreciated.	本插件永久免费，欢迎捐赠支持。
Help, bug reports and updates.	获取帮助、反馈问题与更新。
(favorite)	（收藏）
Block an emote as a swap target...	将情感动作屏蔽为替换目标...
(blocked)	（屏蔽）
Create a mod	创建模组
Sync...	同步...
Sync everyone (/be sync)	同步所有人 (/be sync)
Sync Direct Play only (/be syncdirect)	仅同步直接播放 (/be syncdirect)
This tab allows you to make sure a locked emote will always use one or multiple specific target emotes.	此标签页让你指定某个未解锁的情感动作始终使用一个或多个特定的目标情感动作。
Override an emote...	覆写一个情感动作...
(overridden)	（已覆写）
No override yet.	尚无覆写。
Remove this override	移除此覆写
Pick an emote on the left.	请先在左侧选择一个情感动作。
Add a target emote...	添加目标情感动作...
(already a target)	（已是目标）
No target yet.	尚无目标。
Limited to selected targets only	仅限选定的目标
On: this emote plays on one of these targets, or not at all.\nOff: your usual settings take over when none of these targets can be used.	开启：该情感动作会在这些目标之一上播放，否则完全不播放。\n关闭：当这些目标都不可用时，改由你的常规设置生效。
The approval list could not be reached.	无法访问审批列表。
Game build {0} has not been approved yet.	游戏版本 {0} 尚未通过审批。
Game build {0} names a plugin version the plugin cannot read.	游戏版本 {0} 指定的插件版本无法被识别。
Game build {0} needs Bypass Emote {1} or newer. Installed: {2}.	游戏版本 {0} 需要 Bypass Emote {1} 或更高版本；当前安装的是 {2}。
unknown	未知
Game build {0} is approved.	游戏版本 {0} 已通过审批。
This game client is not the Global one, and has not and can not be tested. This plugin might not work and might be unstable/unusable. Please don't use it if it does not work well.	该游戏客户端并非国际服客户端，尚未且无法进行测试。本插件可能无法工作，也可能不稳定／不可用。如果表现不佳，请不要继续使用。
Reading the approval list.	正在读取审批列表。
The approval recorded for game build {0} was dropped.	已清除为游戏版本 {0} 记录的审批结果。
The plugin has been approved for this patch. If you noticed weird behaviors prior to this message, try again and it should be fixed now.	本插件已通过该游戏版本的审批。如果你在此提示之前遇到了异常表现，请重试，现在应该已恢复正常。
Could not swap /{0}.	无法替换 /{0}。
Found /{0} but {1}	找到 /{0}，但{1}
Also found /{0} but {1}	另外找到 /{0}，但{1}
it is on your blocked targets list.	它在你屏蔽的目标列表中。
another of your mods targets it. Your configuration blocked it.	你的另一个模组以它为目标，已被你的配置屏蔽。
your mod \"{0}\" targets it. Your configuration blocked it.	你的模组「{0}」以它为目标，已被你的配置屏蔽。
the loop kinds do not match.	两者的循环类型不匹配。
turn matching is very strict.	转身匹配设置为非常严格。
it makes a sound, and your sound rule avoids every target that does.	它会发出声音，而你的音效规则会避开所有会发声的目标。
it makes a sound, and your sound rule only allows that for an emote that makes one too.	它会发出声音，而你的音效规则只允许替换到同样会发声的情感动作。
it makes a sound.	它会发出声音。
{0} matching is strict.	{0}匹配设置为严格。
loop	循环
turn	转身
{0} is the emote being bypassed.	{0} 就是被无视限制播放的那个情感动作。
{0} can never be a swap target: it is a pose, a facial expression, a per-job emote, or it draws your weapon. It is always skipped.	{0} 永远不能作为替换目标：它是姿势、表情、职业专属动作，或者会拔出武器。它会被始终跳过。
You have not unlocked {0}. It is skipped.	你还没有解锁 {0}，将被跳过。
{0} is on your blocked targets list. This override uses it anyway.	{0} 在你屏蔽的目标列表中，但此覆写仍会使用它。
Your mod \"{0}\" already changes {1}. What your \"Emotes your mods change\" setting is set to still applies here.	你的模组「{0}」已经修改了 {1}。这里仍然会应用你在「被模组修改的情感动作」中的设置。
{0} and {1} share no posture. The swap will not happen.	{0} 与 {1} 没有共同的姿态，替换不会发生。
{0} has no {1} animation. The swap will not happen when you play {2} in that posture.	{0} 没有{1}姿态的动画。当你以该姿态播放 {2} 时，替换不会发生。
chair sitting	坐在椅子上
ground sitting	坐在地上
matching	共有姿态
 or 	或
{0} will stop when you turn your character.	当你转动角色时，{0} 会中断。
{0} plays a separate animation when you use it on someone (adjust variant) but {1} has no adjust variant. Targeting someone will keep {2}'s animation.	{0} 对他人使用时有一套单独的动画（adjust 变体），但 {1} 没有 adjust 变体。选中他人时会继续播放 {2} 的动画。
{0} plays once while {1} loops. The animation will stop instead of looping.	{0} 只播放一次，而 {1} 是循环的。动画会停止而不会循环。
{0} loops while {1} plays once. Weird behavior might happen.	{0} 是循环的，而 {1} 只播放一次。可能会出现异常表现。
{0} does not behave like {1} when you target someone: {0} {2} while {1} {3}.	{0} 与 {1} 在选中他人时的表现不同：{0}{2}，而 {1}{3}。
does not turn at all	完全不转身
only follows with the eyes	只转动视线
turns the head	转动头部
turns the whole body	转动整个身体
turns in a way the plugin could not read	以插件无法识别的方式转身
{0} emits a voice line sound. Everyone around you will hear it.	{0} 会发出语音音效，周围的人都会听到。
{0} emits a sound that {1} does not. Everyone around you will hear it.	{0} 会发出 {1} 没有的音效，周围的人都会听到。
{0} has no intro meanwhile {1} has one, meaning the intro will not play.	{0} 没有开场动作，而 {1} 有，因此开场动作不会播放。
{0} has an intro and {1} does not.	{0} 有开场动作，而 {1} 没有。
Still loading emote data. Try again in a moment.	情感动作数据仍在加载中，请稍后再试。
Something went wrong. Emote not swapped.	出了点问题，未执行替换。
No Penumbra collection is assigned to your character. Emote not swapped.	你的角色没有分配 Penumbra 集合，未执行替换。
{0} Emote not swapped.	{0} 未执行替换。
Penumbra could not say which collection your character uses. Emote not swapped.	Penumbra 无法确定你的角色使用哪个集合，未执行替换。
Emote Swap is off.	表情替换已关闭。
Client in gpose.	客户端处于 GPose 中。
Local player not found.	找不到本地玩家。
This emote is not in the catalog.	该情感动作不在目录中。
/{0} needs {1}.	/{0} 需要{1}。
water underfoot	站在水中
Penumbra is not running. Emote Swap needs it installed.	Penumbra 未运行。表情替换需要先安装它。
Penumbra answers over interface version {0}, and Bypass Emote needs version {1} or newer. Update Penumbra.	Penumbra 的接口版本为 {0}，而 Bypass Emote 需要 {1} 或更高版本。请更新 Penumbra。
/{0} cannot be played {1}.	/{0} 无法在{1}播放。
while carrying your {0}	携带{0}时
while standing	站立时
while swimming	游泳时
while diving	潜水时
while sitting on the ground	坐在地上时
while sitting in a chair	坐在椅子上时
while mounted	骑乘时
while holding an umbrella	手持雨伞时
while holding a torch	手持火把时
while wearing a fashion accessory	佩戴时尚配饰时
while fishing	钓鱼时
right now	当前状态
rules	规则
modded	模组
Standing	站立
SittingInChair	坐在椅子上
SittingOnGround	坐在地上
Mounted	骑乘
Swimming	游泳
Diving	潜水
Fishing	钓鱼
HoldingUmbrella	手持雨伞
HoldingTorch	手持火把
WearingFashionAccessory	佩戴时尚配饰
idle pose	待机动作
Your character is still in another emote. Move, or change pose, then try again.	你的角色仍在播放其他情感动作。请移动或更换姿势后重试。
Your character is mounted, so there is no idle pose to borrow.	你的角色正在骑乘，没有可借用的待机动作。
This pose cannot be changed.	该姿势无法更改。
Your pose animation could not be found.	找不到你的姿势动画。
That emote has no animation to lend.	该情感动作没有可借出的动画。
That emote's animation could not be found.	找不到该情感动作的动画。
Your pose animation could not be rebuilt.	你的姿势动画无法重建。
Penumbra could not say which collection your character uses.	Penumbra 无法确定你的角色使用哪个集合。
The swap mod could not be turned on.	无法开启替换模组。
Your character could not be refreshed.	无法重新绘制你的角色。
Something went wrong.	出了点问题。
Could not use your idle pose for this emote. {0}	无法为此情感动作使用你的待机动作。{0}
Your idle 0 pose has no intro, so this emote's intro will not play. Try changing pose.	你的待机 0 号姿势没有开场动作，因此该情感动作的开场不会播放。请尝试更换姿势。
A debug log export is already running.	调试日志导出已在进行中。
Exporting logs...	正在导出日志……
Debug logs could not be exported. The Dalamud log has the reason.	无法导出调试日志，原因见 Dalamud 日志。
Debug logs exported to 	调试日志已导出到 
. Send this file to the developer. Feel free to check the content of the zip and if you need to anonymize any information, please do so before sending it. 	。请把这个文件发送给开发者。你可以先查看压缩包内容；如需匿名化处理，请在发送前完成。 
Personal information appears in it, DO NOT send this in a public channel.	其中包含个人信息，切勿在公开频道发送。
 Ask the developer where to send this file to be extra safe.	 为了更安全，请先向开发者确认发送途径。
[Open folder]	[打开文件夹]
Emote Swap was enabled because no choice was made.	由于没有做出选择，已启用表情替换。
Could not swap /{0}: none of the target override emotes can be played right now.	无法替换 /{0}：目标覆写的情感动作目前都无法播放。
{0} was skipped because {1}.	{0} 被跳过，因为{1}。
{0} more target(s) were skipped for the same reason.	还有 {0} 个目标因相同原因被跳过。
Emote #{0}	情感动作 #{0}
you have not unlocked it	你还没有解锁它
it can never be a swap target	它永远不能作为替换目标
it cannot be played in your current state	它无法在你当前的状态下播放
one of your mods changes it, and your settings block those	你的某个模组修改了它，而你的设置屏蔽了这类目标
there is no animation data for it	它没有动画数据
it is available	它可以替换
This emote landed on /{0}, which your mod \"{1}\" changes. Players around you may briefly see that mod's animation before yours reaches them. If you don't want this to happen, head over to the configuration window and block emotes that are changed by other mods.	该情感动作替换到了 /{0}，而你的模组「{1}」修改了它。你周围的玩家可能会先短暂看到该模组的动画，之后才会收到你的。如果不希望这样，请到配置窗口中屏蔽被其他模组修改的情感动作。
This emote landed on a {0} target with no intro. You will not see the intro play.	该情感动作替换到了没有开场动作的{0}目标上，你不会看到开场播放。
Something went wrong. Nothing was created; the log has the details.	出了点问题，没有创建任何内容；详情见日志。
Pick at least one race for the mod to cover.	请至少选择一个该模组要覆盖的种族。
Give the mod a name first.	请先给模组起个名字。
Penumbra's mod folder could not be read.	无法读取 Penumbra 的模组目录。
The swap engine is not running.	替换引擎未运行。
Penumbra already holds a mod folder called '{0}'. Pick another name.	Penumbra 中已存在名为「{0}」的模组目录，请换一个名字。
/{0} cannot be played over /{1}: they share no posture to move the animation onto.	/{0} 无法覆盖 /{1}：两者没有可用于迁移动画的共同姿态。
The mod's files could not be written. The log has the details.	无法写入模组文件，详情见日志。
